transfer_rate,drop_rate,errors_rate,fifo_errors_rate,cpu_usage_percentage,rx_ring_size,tx_ring_size,cores,governor,cpu_freq,io_scheduler,task_scheduler,kernel.sched_min_granularity_ns,kernel.sched_wakeup_granularity_ns,kernel.sched_migration_cost_ns,kernel.numa_balancing,kernel.pid_max,net.core.netdev_max_backlog,net.core.netdev_budget,net.core.somaxconn,net.core.busy_poll,net.core.busy_read,net.core.rmem_max,net.core.wmem_max,net.core.rmem_default,net.core.wmem_default,tcp_fastopen,tcp_lowlatency,tcp_sack,tcp_rmem[0],tcp_rmem[1],tcp_rmem[2],tcp_wmem[0],tcp_wmem[1],tcp_wmem[2],tcp_max_syn_backlog,tcp_tw_reuse,tcp_tw_recycle,tcp_timestamps,tcp_syn_retries,rx_interrupt_coalesce_usecs,rx_interrupt_max_coalesce_frames,tx_interrupt_coalesce_usecs,tx_interrupt_max_coalesce_frames,rx_checksum_offload,tx_checksum_offload,general_segmentation_offload,tcp_segmentation_offload,general_receive_offload,large_receive_offload,rx_vlan_offload,tx_vlan_offload,rx_hash
1,1,1,1,0.001,64,64,1,1,2000,1,1,1,1,1,1,1,1000,300,512,0,0,8589934592,8589934592,67108864,67108864,1,1,1,10240,87380,67108864,10240,87380,67108864,1024,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0
2,1,1,1,0.03,64,64,1,1,2000,1,1,1,1,1,1,1,1000,300,512,0,0,8589934592,8589934592,67108864,67108864,1,1,1,10240,87380,67108864,10240,87380,67108864,1024,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0
5,13,1,1,0.05,64,64,1,1,2000,1,1,1,1,1,1,1,1000,300,512,0,0,8589934592,8589934592,67108864,67108864,1,1,1,10240,87380,67108864,10240,87380,67108864,1024,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0
10,14,1,1,0.09,64,64,1,1,2000,1,1,1,1,1,1,1,1000,300,512,0,0,8589934592,8589934592,67108864,67108864,1,1,1,10240,87380,67108864,10240,87380,67108864,1024,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0
20,27,1,1,0.14,64,64,1,1,2000,1,1,1,1,1,1,1,1000,300,512,0,0,8589934592,8589934592,67108864,67108864,1,1,1,10240,87380,67108864,10240,87380,67108864,1024,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0
40,41,1,1,0.2,64,64,1,1,2000,1,1,1,1,1,1,1,1000,300,512,0,0,8589934592,8589934592,67108864,67108864,1,1,1,10240,87380,67108864,10240,87380,67108864,1024,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0
75,68,1,1,0.3,64,64,1,1,2000,1,1,1,1,1,1,1,1000,300,512,0,0,8589934592,8589934592,67108864,67108864,1,1,1,10240,87380,67108864,10240,87380,67108864,1024,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0
150,109,1,1,0.4,64,64,1,1,2000,1,1,1,1,1,1,1,1000,300,512,0,0,8589934592,8589934592,67108864,67108864,1,1,1,10240,87380,67108864,10240,87380,67108864,1024,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0
250,177,1,1,0.5,64,64,1,1,2000,1,1,1,1,1,1,1,1000,300,512,0,0,8589934592,8589934592,67108864,67108864,1,1,1,10240,87380,67108864,10240,87380,67108864,1024,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0
500,286,1,1,0.7,64,64,1,1,2000,1,1,1,1,1,1,1,1000,300,512,0,0,8589934592,8589934592,67108864,67108864,1,1,1,10240,87380,67108864,10240,87380,67108864,1024,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0
